tax_id	object_id	object_label	object_categories	object_aliases	subject_label	start	end
28049	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1408	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
180916	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
11	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
554	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29549	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29549	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1926	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
31899	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
831	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
831	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
2423	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
46467	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
154	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
2337	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
76935	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
76935	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1428	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1428	GO:0006113	fermentation	[]	[]	fermentation		
1710	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1710	GO:0006113	fermentation	[]	[]	fermentation		
186189	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
106412	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
78229	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
59840	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
221028	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
221028	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
59843	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1472	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
375489	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
375489	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
398758	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
398758	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
29343	GO:0006113	fermentation	[]	[]	fermentation		
29343	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
332101	GO:0006113	fermentation	[]	[]	fermentation		
332101	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
39479	GO:0006113	fermentation	[]	[]	fermentation		
39479	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29364	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
29364	GO:0006113	fermentation	[]	[]	fermentation		
29364	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
259063	GO:0006113	fermentation	[]	[]	fermentation		
259063	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
66219	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
66219	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
66219	GO:0006113	fermentation	[]	[]	fermentation		
253314	GO:0006113	fermentation	[]	[]	fermentation		
253314	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29371	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29371	GO:0006113	fermentation	[]	[]	fermentation		
29350	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
29350	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
52765	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
52765	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
52765	GO:0006113	fermentation	[]	[]	fermentation		
52766	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
52766	GO:0006113	fermentation	[]	[]	fermentation		
52766	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
55205	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
55205	GO:0006113	fermentation	[]	[]	fermentation		
55205	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
416230	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1004	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
365033	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29530	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
322609	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
272919	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
43671	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
43671	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
43671	GO:0006113	fermentation	[]	[]	fermentation		
322596	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
43674	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
248902	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
248902	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
648782	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1874	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
47850	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
47864	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
145854	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
460257	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
75294	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
95161	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
95161	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
543886	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
402648	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
291370	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
35765	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
106413	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
106411	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
47485	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
144786	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
70996	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1677857	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1677857	GO:0006113	fermentation	[]	[]	fermentation		
1677857	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
913107	GO:0006113	fermentation	[]	[]	fermentation		
913107	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
658062	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
582475	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1145318	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
557557	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
549731	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
947013	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
100134	GO:0006113	fermentation	[]	[]	fermentation		
100134	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
454194	GO:0043419	urea catabolic process	[]	[]	urea degradation		
454194	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
604332	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
699281	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
699281	GO:0006113	fermentation	[]	[]	fermentation		
454155	GO:0006113	fermentation	[]	[]	fermentation		
454155	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
49319	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
393060	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
457934	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
557555	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
557556	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
889453	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
889453	GO:0006113	fermentation	[]	[]	fermentation		
