subject	edge_label	object	relation	provided_by
DSMZ:65	biolink:supportsGrowth	NCBITaxon:2293571		BACDIVE:158473
NCBITaxon:1409	biolink:growsIn	DSMZ:514		BACDIVE:157607
DSMZ:514	biolink:supportsGrowth	NCBITaxon:1409		BACDIVE:157607
NCBITaxon:1134435	biolink:growsIn	DSMZ:830		BACDIVE:130655
DSMZ:830	biolink:supportsGrowth	NCBITaxon:1134435		BACDIVE:130655
NCBITaxon:1268254	biolink:growsIn	DSMZ:104		BACDIVE:24765
DSMZ:104	biolink:supportsGrowth	NCBITaxon:1268254		BACDIVE:24765
NCBITaxon:1176177	biolink:growsIn	DSMZ:830		BACDIVE:24174
DSMZ:830	biolink:supportsGrowth	NCBITaxon:1176177		BACDIVE:24174
NCBITaxon:1886	biolink:growsIn	DSMZ:65		BACDIVE:14920
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1886		BACDIVE:14920
NCBITaxon:29382	biolink:growsIn	DSMZ:92		BACDIVE:14613
DSMZ:92	biolink:supportsGrowth	NCBITaxon:29382		BACDIVE:14613
NCBITaxon:33	biolink:growsIn	DSMZ:9		BACDIVE:9663
DSMZ:9	biolink:supportsGrowth	NCBITaxon:33		BACDIVE:9663
NCBITaxon:83462	biolink:growsIn	DSMZ:9		BACDIVE:9474
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83462		BACDIVE:9474
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:9123
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:9123
NCBITaxon:396322	biolink:growsIn	DSMZ:193		BACDIVE:3948
DSMZ:193	biolink:supportsGrowth	NCBITaxon:396322		BACDIVE:3948
NCBITaxon:83460	biolink:growsIn	DSMZ:9		BACDIVE:3720
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83460		BACDIVE:3720
NCBITaxon:537013	biolink:growsIn	DSMZ:492		BACDIVE:2743
DSMZ:492	biolink:supportsGrowth	NCBITaxon:537013		BACDIVE:2743
NCBITaxon:1960309	biolink:growsIn	DSMZ:65		BACDIVE:160762
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1960309		BACDIVE:160762
NCBITaxon:1960103	biolink:growsIn	DSMZ:215		BACDIVE:158237
DSMZ:215	biolink:supportsGrowth	NCBITaxon:1960103		BACDIVE:158237
NCBITaxon:1199	biolink:growsIn	DSMZ:1593		BACDIVE:140182
DSMZ:1593	biolink:supportsGrowth	NCBITaxon:1199		BACDIVE:140182
NCBITaxon:1872654	biolink:growsIn	DSMZ:830		BACDIVE:132907
DSMZ:830	biolink:supportsGrowth	NCBITaxon:1872654		BACDIVE:132907
NCBITaxon:1405	biolink:growsIn	DSMZ:1		BACDIVE:132705
DSMZ:1	biolink:supportsGrowth	NCBITaxon:1405		BACDIVE:132705
NCBITaxon:1550233	biolink:growsIn	DSMZ:714		BACDIVE:130788
DSMZ:714	biolink:supportsGrowth	NCBITaxon:1550233		BACDIVE:130788
NCBITaxon:1470176	biolink:growsIn	DSMZ:65		BACDIVE:130583
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1470176		BACDIVE:130583
NCBITaxon:1082851	biolink:growsIn	DSMZ:1		BACDIVE:130255
DSMZ:1	biolink:supportsGrowth	NCBITaxon:1082851		BACDIVE:130255
NCBITaxon:1245591	biolink:growsIn	DSMZ:514a		BACDIVE:24725
DSMZ:514a	biolink:supportsGrowth	NCBITaxon:1245591		BACDIVE:24725
NCBITaxon:1301100	biolink:growsIn	DSMZ:104b		BACDIVE:23858
DSMZ:104b	biolink:supportsGrowth	NCBITaxon:1301100		BACDIVE:23858
NCBITaxon:1123399	biolink:growsIn	DSMZ:1191		BACDIVE:17081
DSMZ:1191	biolink:supportsGrowth	NCBITaxon:1123399		BACDIVE:17081
NCBITaxon:516370	biolink:growsIn	DSMZ:252		BACDIVE:15748
DSMZ:252	biolink:supportsGrowth	NCBITaxon:516370		BACDIVE:15748
NCBITaxon:67257	biolink:growsIn	DSMZ:65		BACDIVE:14960
DSMZ:65	biolink:supportsGrowth	NCBITaxon:67257		BACDIVE:14960
NCBITaxon:2816960	biolink:growsIn	DSMZ:92		BACDIVE:14692
DSMZ:92	biolink:supportsGrowth	NCBITaxon:2816960		BACDIVE:14692
NCBITaxon:145391	biolink:growsIn	DSMZ:53		BACDIVE:14637
DSMZ:53	biolink:supportsGrowth	NCBITaxon:145391		BACDIVE:14637
NCBITaxon:74707	biolink:growsIn	DSMZ:92		BACDIVE:14570
DSMZ:92	biolink:supportsGrowth	NCBITaxon:74707		BACDIVE:14570
NCBITaxon:56	biolink:growsIn	DSMZ:9		BACDIVE:12446
DSMZ:9	biolink:supportsGrowth	NCBITaxon:56		BACDIVE:12446
NCBITaxon:56	biolink:growsIn	DSMZ:9		BACDIVE:12198
DSMZ:9	biolink:supportsGrowth	NCBITaxon:56		BACDIVE:12198
NCBITaxon:40215	biolink:growsIn	DSMZ:1		BACDIVE:8085
DSMZ:1	biolink:supportsGrowth	NCBITaxon:40215		BACDIVE:8085
NCBITaxon:626223	biolink:growsIn	DSMZ:514		BACDIVE:6064
DSMZ:514	biolink:supportsGrowth	NCBITaxon:626223		BACDIVE:6064
NCBITaxon:48	biolink:growsIn	DSMZ:9		BACDIVE:3267
DSMZ:9	biolink:supportsGrowth	NCBITaxon:48		BACDIVE:3267
NCBITaxon:2487273	biolink:growsIn	DSMZ:122		BACDIVE:157972
DSMZ:122	biolink:supportsGrowth	NCBITaxon:2487273		BACDIVE:157972
NCBITaxon:210	biolink:growsIn	DSMZ:693		BACDIVE:157654
DSMZ:693	biolink:supportsGrowth	NCBITaxon:210		BACDIVE:157654
NCBITaxon:52258	biolink:growsIn	DSMZ:65		BACDIVE:139782
DSMZ:65	biolink:supportsGrowth	NCBITaxon:52258		BACDIVE:139782
NCBITaxon:1408281	biolink:growsIn	DSMZ:1494		BACDIVE:132651
DSMZ:1494	biolink:supportsGrowth	NCBITaxon:1408281		BACDIVE:132651
NCBITaxon:1930747	biolink:growsIn	DSMZ:92		BACDIVE:132272
